 type   sat      day     hms     lat     lon     pre   spd   dir   rff    qi
IR     GOES12  20080827  2255   10.51    61.95   400    5.0   54  79.27  0.83
IR     GOES12  20080827  2255   10.41    60.46   237    4.8   64  67.11  0.92
IR     GOES12  20080827  2255   10.41    60.44   237    4.8   64  67.23  0.92
IR     GOES12  20080827  2255    9.60    86.42   250   13.2   73  72.00  0.82
IR     GOES12  20080827  2255    9.71    85.97   162   16.2   74  65.48  0.99
IR     GOES12  20080827  2255    9.79    85.71   150   23.1   78  59.53  0.97
IR     GOES12  20080827  2255    9.93    85.27   162   11.8   85  52.55  0.81
IR     GOES12  20080827  2255    9.58    81.59   137   14.6   93  55.15  0.77
IR     GOES12  20080827  2255    9.73    81.05   200   13.8   99  59.26  0.95
IR     GOES12  20080827  2255    9.73    81.03   187   13.9   99  59.75  0.94
IR     GOES12  20080827  2255    9.65    77.93   162   17.6   88  61.28  0.91
IR     GOES12  20080827  2255    9.53    77.36   162   18.9   84  69.89  0.98
IR     GOES12  20080827  2255    9.98    77.24   150   18.9   74  69.45  0.91
IR     GOES12  20080827  2255    9.62    61.23   150   11.1   10  61.14  0.93
IR     GOES12  20080827  2255    9.06    87.96   237   14.1   66  70.42  0.87
