 type   sat      day     hms     lat     lon     pre   spd   dir
IR     GOES12  20050825  2245   11.37    81.92   212   11.5   88
IR     GOES12  20050825  2245   11.22    80.21   262    9.5  100
IR     GOES12  20050825  2245   11.43    77.17   200   11.7   57
IR     GOES12  20050825  2245   11.39    77.07   175   13.1   55
IR     GOES12  20050825  2245   11.58    76.64   137   14.0   34
IR     GOES12  20050825  2245   11.58    76.41   150   14.2   26
IR     GOES12  20050825  2245   11.28    74.47   150   12.7   91
IR     GOES12  20050825  2245   11.25    71.90   150   19.2   69
IR     GOES12  20050825  2245   11.14    69.58   275    8.5   90
IR     GOES12  20050825  2245   11.17    94.74   250   13.3   68
IR     GOES12  20050825  2245   11.09    94.23   225   12.6   84
IR     GOES12  20050825  2245   11.13    94.18   212   12.7   83
IR     GOES12  20050825  2245   11.15    92.59   175    8.2   98
IR     GOES12  20050825  2245   11.06    77.36   200    6.9   60
IR     GOES12  20050825  2245   11.02    76.03   225   14.0   27
IR     GOES12  20050825  2245   11.02    72.16   137    7.8   86
IR     GOES12  20050825  2245   11.02    72.09   137    8.5   83
IR     GOES12  20050825  2245   11.02    71.69   150   17.6   63
IR     GOES12  20050825  2245   11.10    69.54   275    9.1   83
